a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
13:0,19:0,46.0,64.92592841313545,41.88591115574185,42.88,6.223793055685577,0.5013020150388526,0.7084996876331696,1.0982213047475793
13:0,19:1,45.0,62.25773957423947,40.16457234112232,41.605,6.732679629983891,0.5042568763973886,0.7228016999611684,1.1203903683527323
13:0,20:0,46.0,107.0451950842791,69.05847387223582,71.385,8.395044669327255,-3.0238076150742215,0.42972503309264054,0.6661021800902233
13:0,20:1,46.0,63.401249076623465,40.902288975959266,41.245,6.922786649897569,0.6868621323279345,0.7255377562736467,1.1246314363246752
13:0,20:2,46.0,62.70243771405547,40.45146214355891,42.08,6.6259791729222925,0.5916106733355672,0.733623790031509,1.1371653226464296
13:0,20:3,46.0,64.41770196763146,41.55803709581433,43.045,6.563762259558154,0.45019912104478277,0.7140894287584806,1.106885772635134
13:0,20:4,46.0,107.3628366127191,69.26339515969053,70.38,7.778534566356315,-3.134266460092402,0.4284536572550884,0.6641314635810806
13:0,20:5,46.0,62.38479618561547,40.246540856104204,42.05,6.5082639774366875,0.6069206801835549,0.7373591453779016,1.1429553701140795
13:0,21:0,46.0,62.51185279699147,40.328509371086085,41.805,6.302933840680863,0.6655630704743115,0.7358604479279466,1.1406322900935224
13:0,22:0,46.0,63.718890605063464,41.107210263413975,42.635,6.944190017561441,0.4845777537034727,0.7219209180070781,1.1190250981575531
13:0,22:1,46.0,81.50681619770332,52.582802360877494,54.655,7.379429178466315,-1.172854944560738,0.5643699772105217,0.8748107353484224
13:0,22:2,46.0,63.46477738231146,40.943273233450206,42.585,5.995229353410928,0.5696195756142453,0.7248114922533527,1.123505679131157
13:0,22:4,46.0,62.19421126855148,40.12358808363138,41.66,6.398781133934804,0.6782541720302919,0.7396186728918277,1.1464577869785761
13:0,22:6,46.0,62.89302263111947,40.574414916031735,42.18,6.751859003267177,0.5657701083733426,0.731400687637474,1.1337193671232586
14:0,14:1,45.0,64.96642267141226,41.91203537061187,43.445,5.8717097169393515,0.26482916815760926,0.692665505496607,1.07367727675553
14:0,15:0,45.0,64.49022899738097,41.60482673438749,43.38,7.186487319963768,0.22542306524353053,0.6977801242080798,1.0816052735248218
14:0,15:1,45.0,64.35417366194345,41.51705283832338,43.235,6.740903129403356,0.2618343515872809,0.6992553464579913,1.0838919654350223
14:0,16:0,52.0,123.1300785709489,79.43537593801831,82.025,10.179114647158663,-2.9496671410790136,0.42231760592954576,0.6546201788051518
14:0,16:1,46.0,71.08891276610034,45.86186069349676,47.38,6.827561790273303,-0.2021219349440354,0.6470769942895468,1.003012073745251
14:0,17:0,52.0,69.59230407628769,44.89634783679156,46.31,7.370474882936651,0.7719991032291403,0.7472090583895189,1.158223385764736
14:0,17:1,46.0,66.39500369350614,42.83366127928502,44.54,6.3473143927176,0.23001854164890398,0.6928232162219022,1.0739217387948639
14:0,17:2,46.0,66.53105902894366,42.92143517534912,44.705,7.316964876231126,0.17698595276940013,0.6914063998288104,1.0717255798198235
14:0,18:0,52.0,122.44980189376133,78.99650645769776,82.23,8.96030691438636,-3.3737683640572356,0.42466381485137655,0.6582569575762915
14:0,18:1,54.0,125.57907460882411,81.01530606717228,84.15,9.094916162340365,-3.3150388042985113,0.43000794653256313,0.6665407146055455
14:0,18:2,53.0,117.00758847626084,75.48555061513342,78.265,9.339955835013356,-2.705044910949932,0.4529620744277876,0.7021211287206867
14:0,18:3,90.0,127.6199046403868,82.33191450813389,84.525,9.818318338697312,0.5576311351019418,0.7052191447220252,1.0931362465901184
14:0,18:4,46.0,65.10247800684978,41.99980926667598,43.705,6.925891639348684,0.3313652767769588,0.706578327097781,1.0952430690321706
14:0,19:0,52.0,69.52427640856894,44.85246088875951,45.555,6.55949502629585,0.9825451462594514,0.7479401827127963,1.1593566767488501
