head,a,b,obs,null_mean,z
TG,21:0,22:6,34.0,34.29,-0.05230032561531597
TG,22:0,22:1,57.0,50.68,0.870440847281522
TG,22:0,22:2,35.0,34.61,0.0697565042330365
TG,22:0,22:3,35.0,36.08,-0.20239629846374968
TG,22:0,22:4,34.0,34.52,-0.08529221635786467
TG,22:0,22:5,34.0,35.7,-0.3240006009151672
TG,22:0,22:6,34.0,34.02,-0.00355224657834853
TG,22:1,22:2,57.0,51.88,0.7478988582657504
TG,22:1,22:3,57.0,52.83,0.5196242519302839
TG,22:1,22:4,57.0,51.12,0.8142701071705262
TG,22:1,22:5,57.0,51.35,0.7875568463138022
TG,22:1,22:6,57.0,52.55,0.6795081115639041
TG,22:2,22:3,55.0,36.76,3.374169484614947
TG,22:2,22:4,35.0,34.68,0.05678402081151785
TG,22:2,22:5,35.0,35.43,-0.07539788009831258
TG,22:2,22:6,35.0,36.05,-0.1717680073359098
TG,22:3,22:4,35.0,34.97,0.00477642216404427
TG,22:3,22:5,35.0,35.73,-0.11969288056980229
TG,22:3,22:6,35.0,35.6,-0.0968750525580942
TG,22:4,22:5,34.0,34.7,-0.10917527678265487
TG,22:4,22:6,34.0,34.13,-0.021531590859977395
TG,22:5,22:6,34.0,35.62,-0.27809120148806743
TG,16:0,18:0,32.0,33.75,-0.3050637494200359
